time,ax,ay,az,atotal
0.000,-0.00,0.02,0.46,0.46
0.010,-0.00,0.09,0.29,0.30
0.020,-0.21,0.17,0.13,0.30
0.030,-0.21,0.25,0.11,0.35
0.040,-0.13,0.28,0.19,0.36
0.050,-0.07,0.11,0.41,0.43
0.060,0.13,-0.05,0.78,0.80
0.070,0.30,-0.13,0.98,1.03
0.080,0.33,-0.15,0.72,0.81
0.090,0.21,0.03,0.09,0.23
0.100,0.13,0.51,-0.82,0.98
0.110,-0.03,0.91,-1.87,2.08
0.120,-0.68,1.00,-3.33,3.54
0.130,-2.22,1.55,-5.03,5.71
0.140,-1.66,0.15,-7.04,7.24
0.150,-0.01,-0.95,-9.39,9.44
0.160,0.18,-0.98,-9.57,9.63
0.170,0.21,-0.70,-8.87,8.90
0.180,0.33,-0.40,-8.20,8.22
0.190,0.77,-0.81,-9.16,9.23
0.200,1.13,-1.06,-9.73,9.85
0.210,1.34,-0.98,-9.57,9.71
0.220,1.56,-0.97,-9.54,9.71
0.230,1.81,-0.97,-9.49,9.71
0.240,2.04,-0.95,-9.44,9.70
0.250,2.27,-0.94,-9.38,9.69
0.261,2.50,-0.92,-9.31,9.68
0.270,2.71,-0.91,-9.23,9.66
0.281,2.95,-0.90,-9.13,9.64
0.291,3.15,-0.89,-9.04,9.61
0.301,3.38,-0.88,-8.96,9.62
0.311,3.60,-0.87,-8.86,9.61
0.321,3.79,-0.85,-8.76,9.58
0.331,4.01,-0.83,-8.64,9.56
0.341,4.19,-0.83,-8.55,9.56
0.351,4.38,-0.80,-8.44,9.54
0.361,4.58,-0.78,-8.32,9.53
0.371,4.78,-0.78,-8.21,9.53
0.381,4.96,-0.75,-8.10,9.52
0.391,5.15,-0.73,-7.99,9.53
0.401,5.31,-0.72,-7.87,9.53
0.411,5.49,-0.71,-7.76,9.53
0.421,5.65,-0.69,-7.63,9.52
0.431,5.80,-0.67,-7.50,9.50
0.441,5.95,-0.65,-7.37,9.50
0.451,6.11,-0.63,-7.25,9.50
0.461,6.24,-0.62,-7.11,9.48
0.471,6.38,-0.60,-6.97,9.47
0.481,6.51,-0.57,-6.84,9.46
0.491,6.62,-0.54,-6.74,9.46
0.501,6.74,-0.52,-6.60,9.45
0.511,6.84,-0.51,-6.46,9.42
0.521,6.94,-0.49,-6.33,9.40
0.531,4.46,0.26,-6.65,8.01
0.541,-142.39,14.80,59.46,155.01
0.551,-24.27,-12.08,272.49,273.84
0.561,90.89,-2.85,69.47,114.43
0.571,-3.20,-0.14,-28.86,29.03
0.581,15.07,-1.68,-0.09,15.17
0.591,13.62,-1.43,-2.10,13.85
0.601,13.57,-1.57,0.91,13.69
0.611,13.04,-1.59,3.23,13.53
0.621,11.87,-1.58,5.34,13.11
0.631,10.26,-1.55,7.24,12.65
0.641,8.27,-1.51,8.78,12.16
0.651,5.97,-1.47,9.73,11.52
0.661,3.52,-1.44,10.13,10.82
0.671,1.04,-1.44,9.97,10.13
0.681,-1.31,-1.44,9.26,9.46
0.691,-3.43,-1.44,8.05,8.87
0.701,-5.18,-1.46,6.42,8.37
0.711,-6.49,-1.48,4.45,8.01
0.721,-7.29,-1.51,2.26,7.78
0.731,-7.49,-1.53,-0.03,7.64
0.741,-7.15,-1.55,-2.32,7.68
0.751,-6.26,-1.58,-4.42,7.82
0.762,-4.84,-1.62,-6.26,8.08
0.772,-2.97,-1.65,-7.72,8.43
0.782,-0.80,-1.71,-8.75,8.95
0.792,1.57,-1.77,-9.26,9.55
0.801,4.03,-1.82,-9.22,10.22
0.812,6.42,-1.91,-8.64,10.94
0.822,8.59,-2.00,-7.58,11.63
0.832,10.47,-2.08,-6.10,12.30
0.842,11.93,-2.15,-4.27,12.85
0.852,12.91,-2.22,-2.18,13.28
0.862,13.35,-2.21,0.04,13.53
0.872,13.25,-2.21,2.27,13.62
0.882,12.62,-2.16,4.37,13.53
0.892,11.51,-2.06,6.24,13.25
0.902,10.01,-1.98,7.77,12.82
0.912,8.45,-1.93,8.78,12.34
0.922,4.91,13.23,13.05,19.22
0.932,-2.72,36.08,24.63,43.77
0.942,11.57,-13.77,11.44,21.32
0.952,14.37,-23.91,-14.93,31.64
0.962,67.72,-43.76,-234.10,247.59
0.972,32.72,-18.26,-30.93,48.59
0.982,-13.28,4.18,47.04,49.06
0.992,-3.85,1.85,2.30,4.85
1.002,-5.36,0.74,5.57,7.77
1.012,-6.46,0.92,3.51,7.41
1.022,-6.83,0.54,1.42,6.99
1.032,-7.13,-0.61,-1.42,7.29
1.042,-6.99,-1.06,-3.78,8.02
1.052,-7.09,-0.39,-3.54,7.94
1.062,-5.69,-0.15,-5.26,7.75
1.072,0.69,0.16,-10.72,10.74
1.082,8.71,-0.85,-14.10,16.59
1.092,7.08,-2.31,-6.56,9.93
1.102,0.22,-1.47,-4.21,4.46
1.112,-2.38,-1.37,-4.48,5.25
1.122,-0.67,-2.18,-4.29,4.86
1.132,3.54,-2.83,-4.78,6.59
1.142,6.94,-0.34,-6.35,9.41
1.152,3.69,1.31,-7.35,8.32
1.162,-1.48,0.03,-7.88,8.02
1.172,-2.78,-0.81,-8.71,9.18
1.182,-2.01,-0.98,-9.25,9.51
1.192,-0.79,-0.94,-9.35,9.43
1.202,1.43,-0.44,-7.99,8.13
1.212,4.41,0.40,-5.74,7.25
1.222,5.23,-0.12,-6.84,8.61
1.232,5.98,-0.71,-8.36,10.30
1.243,7.24,-0.56,-6.72,9.89
1.253,-6.61,3.99,44.19,44.86
1.263,-17.21,5.40,75.96,78.07
1.273,4.90,-2.60,-12.45,13.63
1.282,3.61,-0.86,-10.53,11.16
1.293,2.16,-1.51,-8.62,9.02
1.303,1.45,-2.03,-9.16,9.49
1.313,1.66,-1.10,-9.47,9.68
1.323,1.89,-0.31,-9.58,9.77
1.333,1.75,-0.18,-9.41,9.57
1.343,0.59,-0.67,-7.30,7.36
1.353,-18.93,-2.06,5.32,19.77
1.363,-22.79,-1.59,12.67,26.12
1.373,5.84,1.04,0.19,5.94
1.383,6.75,0.18,-7.28,9.93
1.393,5.85,-0.25,-6.72,8.91
1.403,7.82,-1.20,25.62,26.81
1.413,7.01,-1.86,44.40,44.99
1.423,4.31,0.77,-12.79,13.52
1.433,4.55,-0.05,-9.18,10.25
1.443,3.43,0.34,-2.26,4.12
1.453,1.67,0.27,0.28,1.71
1.463,-0.17,0.81,-5.50,5.56
1.473,0.61,-0.02,-3.85,3.90
1.483,2.99,-0.72,-0.65,3.15
1.493,4.20,-0.12,-3.28,5.33
1.503,0.79,2.35,17.87,18.04
1.513,2.18,0.33,11.84,12.04
1.523,1.74,0.08,-10.46,10.60
1.533,0.40,-0.39,-4.69,4.72
1.543,4.26,-0.63,7.93,9.03
1.553,3.79,0.08,6.00,7.10
1.563,1.12,0.19,0.11,1.14
1.573,1.35,0.04,-0.49,1.44
1.583,2.72,0.90,1.73,3.35
1.593,3.01,0.61,-0.80,3.18
1.603,2.19,0.33,-3.11,3.82
1.613,3.18,0.26,4.36,5.40
1.623,2.99,0.18,4.91,5.76
1.633,1.95,0.34,-1.59,2.54
1.643,2.36,0.38,0.46,2.44
1.653,2.94,0.39,3.36,4.49
1.663,2.29,0.46,-0.16,2.34
1.673,2.21,0.40,0.29,2.26
1.683,2.72,0.35,2.80,3.92
1.693,2.40,0.43,0.68,2.53
1.704,2.29,0.44,0.16,2.33
1.713,2.56,0.40,2.06,3.31
1.723,2.37,0.42,0.91,2.57
1.733,2.28,0.43,0.61,2.40
1.744,2.48,0.42,1.67,3.02
1.754,2.33,0.48,0.80,2.51
1.764,2.30,0.44,0.91,2.52
1.773,2.39,0.44,1.44,2.82
1.784,2.29,0.47,0.79,2.47
1.794,2.28,0.46,1.06,2.56
1.804,2.33,0.47,1.20,2.66
1.814,2.26,0.47,0.86,2.47
1.824,1.30,0.93,0.64,1.72
1.834,1.11,0.92,0.51,1.53
1.844,0.86,0.87,0.30,1.26
1.854,0.70,0.79,0.38,1.12
1.864,0.66,0.76,0.25,1.04
1.874,0.57,0.70,0.26,0.93
1.884,0.51,0.64,0.24,0.86
1.894,0.50,0.61,0.18,0.81
1.904,0.46,0.58,0.23,0.78
1.914,0.44,0.55,0.16,0.72
1.924,0.41,0.52,0.16,0.68
1.934,0.39,0.48,0.18,0.65
1.944,0.35,0.46,0.13,0.59
1.954,0.36,0.45,0.16,0.60
1.964,0.32,0.40,0.16,0.54
1.974,0.28,0.36,0.11,0.47
1.984,0.24,0.30,0.11,0.40
1.994,0.09,0.20,0.33,0.40
2.004,0.09,0.11,1.50,1.51
2.014,0.24,0.23,0.11,0.36
2.024,0.49,0.51,-1.66,1.80
2.034,0.17,0.18,1.21,1.23
2.044,0.27,0.50,-1.59,1.69
2.054,0.17,0.29,0.37,0.50
2.064,0.36,0.29,0.62,0.78
2.074,0.19,0.22,0.10,0.31
2.084,0.30,0.44,-0.28,0.60
2.094,0.27,0.44,-0.84,0.99
