time,ax,ay,az,atotal
1.072,-5.18,-9.16,-0.85,10.56
1.082,-5.52,-8.87,-1.11,10.51
1.092,-5.91,-8.51,-1.34,10.44
1.102,-6.32,-7.96,-1.55,10.28
1.112,-6.71,-7.44,-1.79,10.18
1.122,-7.22,-6.64,-2.19,10.05
1.132,2.82,26.88,-4.23,27.35
1.142,62.85,165.22,-8.32,176.97
1.153,13.34,-7.59,0.97,15.38
1.163,14.50,-64.94,13.57,67.90
1.173,42.51,-69.31,40.26,90.73
1.182,9.70,-34.26,8.68,36.65
1.193,-6.27,-16.17,-14.41,22.55
1.202,-0.83,-11.38,0.19,11.41
1.213,-10.33,-7.97,52.17,53.77
1.223,-7.21,-5.15,4.11,9.76
1.232,6.91,2.24,-16.57,18.09
1.243,3.99,1.97,-9.09,10.12
1.253,3.19,1.49,-8.61,9.30
1.263,2.95,1.34,-8.43,9.03
1.273,2.70,1.08,-8.71,9.18
1.283,2.39,0.82,-8.87,9.23
1.293,2.07,0.48,-9.04,9.28
1.303,1.72,0.13,-9.20,9.36
1.313,1.35,-0.24,-9.35,9.45
1.323,0.97,-0.65,-9.44,9.51
1.333,0.57,-1.06,-9.53,9.60
1.343,0.16,-1.51,-9.57,9.69
1.353,-0.45,-2.03,-9.45,9.68
1.363,-0.77,-1.42,-2.63,3.09
1.373,11.07,15.19,24.63,30.98
1.383,28.62,30.33,102.72,110.86
1.393,3.82,1.84,13.69,14.33
1.403,-1.33,-0.07,-17.61,17.66
1.413,0.92,0.86,-8.33,8.42
1.423,1.00,0.50,-9.99,10.05
1.433,1.49,0.48,-9.63,9.76
1.443,1.93,0.35,-9.56,9.76
1.453,2.36,0.24,-9.48,9.77
1.463,2.77,0.16,-9.37,9.77
1.473,2.95,0.19,-9.36,9.82
1.483,2.23,0.81,-13.14,13.35
1.493,0.10,3.18,-17.60,17.89
1.503,-0.22,1.68,-6.00,6.24
1.513,0.74,-0.28,0.99,1.27
1.523,2.51,-0.42,3.07,3.99
1.533,16.35,-6.00,63.66,66.00
1.543,10.19,-3.05,21.50,23.99
1.553,2.63,0.39,-22.10,22.26
1.563,-0.30,2.16,-7.71,8.01
1.573,-1.48,1.05,-9.00,9.18
1.583,-1.27,1.21,-9.66,9.82
1.593,-1.73,1.43,-8.93,9.21
1.603,0.21,1.06,-1.80,2.10
1.613,3.45,-2.05,20.39,20.78
1.623,1.73,-3.37,14.65,15.13
1.633,-0.37,-1.18,-8.75,8.84
1.643,2.71,1.13,-11.62,11.99
1.654,-1.16,2.19,4.14,4.82
1.663,-3.90,-0.07,0.95,4.01
1.674,0.37,-0.33,-0.98,1.10
1.684,2.36,0.96,5.42,5.99
1.694,1.10,0.81,-1.50,2.03
1.704,1.31,0.10,-0.20,1.33
1.713,0.45,-0.99,-0.81,1.36
1.724,0.41,-1.49,-5.21,5.43
1.734,-0.54,1.32,2.38,2.77
1.744,-0.72,-1.41,5.61,5.83
1.754,0.66,0.10,-0.55,0.87
1.764,0.69,0.68,-2.72,2.88
1.774,1.04,-0.36,-0.27,1.13
1.784,0.10,-0.72,1.74,1.88
1.794,-1.29,1.05,-0.53,1.75
1.804,-0.32,0.50,-1.35,1.47
1.814,-0.00,-0.26,0.02,0.26
1.824,0.57,-0.10,0.43,0.73
1.834,0.76,0.06,0.84,1.14
1.844,-0.19,0.05,0.98,1.00
1.854,-0.79,0.29,-0.58,1.02
1.864,-0.27,0.31,-1.57,1.62
1.874,0.23,0.02,-0.45,0.50
1.884,0.32,-0.09,0.90,0.96
1.894,0.25,0.04,1.05,1.08
1.904,-0.12,0.19,0.12,0.26
1.914,-0.51,0.24,-0.69,0.90
1.924,-0.39,0.19,-0.85,0.95
1.934,-0.45,0.07,0.17,0.49
1.944,-0.34,0.20,0.49,0.63
1.954,-0.69,0.56,0.14,0.89
1.964,-0.18,-0.04,0.48,0.52
1.974,1.23,-0.26,0.12,1.26
1.984,1.04,0.00,-0.47,1.14
1.994,-0.59,0.26,-0.05,0.65
2.004,-0.14,0.01,0.03,0.14
2.014,0.20,0.14,-0.27,0.37
2.024,0.11,0.07,0.27,0.29
2.034,-0.12,0.04,0.45,0.46
2.044,-0.10,0.19,-0.26,0.33
2.054,-0.10,0.12,-0.40,0.43
2.064,-0.12,0.04,-0.05,0.14
2.074,0.03,0.08,0.11,0.14
2.084,-0.01,0.11,0.28,0.30
2.094,-0.12,0.07,0.13,0.19
2.104,-0.10,0.12,-0.32,0.36
2.114,-0.08,0.12,-0.21,0.25
2.125,-0.05,0.09,0.21,0.23
2.134,0.01,0.12,0.27,0.30
2.144,-0.01,0.12,0.08,0.15
2.155,-0.09,0.13,-0.13,0.20
2.165,-0.06,0.13,-0.20,0.25
2.175,-0.04,0.11,0.03,0.12
2.184,-0.01,0.09,0.19,0.21
2.195,0.01,0.11,0.09,0.14
2.205,-0.06,0.12,-0.03,0.14
2.215,-0.08,0.12,-0.07,0.16
2.225,-0.04,0.14,-0.05,0.15
2.235,-0.02,0.11,0.07,0.13
2.245,-0.02,0.12,0.11,0.16
2.255,-0.03,0.13,-0.02,0.13
2.265,-0.08,0.13,-0.05,0.16
2.275,-0.09,0.12,-0.01,0.15
2.285,-0.04,0.14,0.03,0.15
2.295,0.09,0.05,0.17,0.19
2.305,-0.03,0.13,0.12,0.18
2.315,-0.11,0.12,-0.07,0.18
2.325,-0.09,0.12,-0.16,0.21
2.335,-0.03,0.08,-0.07,0.11
2.345,-0.03,0.08,0.14,0.16
2.355,0.02,0.09,0.19,0.21
2.365,0.01,0.10,0.02,0.11
2.375,-0.05,0.10,-0.08,0.14
2.385,0.22,-0.04,0.17,0.28
2.395,0.27,-0.02,0.11,0.29
2.405,-0.34,0.24,-0.09,0.43
2.415,-0.25,0.05,-0.04,0.26
2.425,-0.02,0.20,-0.44,0.49
2.435,-0.18,0.22,-0.16,0.32
2.445,-0.37,0.20,0.19,0.46
2.455,-0.06,0.15,0.13,0.20
2.466,-0.07,0.20,-0.11,0.24
2.475,0.06,0.03,-0.13,0.15
