time,ax,ay,az,atotal
0.000,0.55,0.12,0.57,0.80
0.010,0.29,0.09,-0.02,0.31
0.020,0.20,-0.01,-0.72,0.75
0.030,0.31,-0.06,-1.44,1.48
0.040,0.18,0.02,-1.79,1.80
0.050,-0.03,0.18,-1.40,1.41
0.060,-0.34,0.52,-0.69,0.92
0.070,-1.34,0.79,-0.70,1.70
0.080,-2.38,1.83,-1.55,3.39
0.090,-2.16,0.99,-3.67,4.38
0.100,0.10,-0.43,-5.94,5.96
0.110,0.72,-0.25,-7.96,8.00
0.120,1.22,-1.11,-9.35,9.49
0.130,1.73,-1.20,-9.55,9.78
0.140,2.09,-1.09,-9.44,9.73
0.150,2.48,-1.01,-9.36,9.73
0.160,2.84,-0.92,-9.26,9.73
0.170,3.22,-0.86,-9.13,9.72
0.180,3.60,-0.75,-8.98,9.71
0.190,3.97,-0.66,-8.82,9.69
0.200,4.31,-0.58,-8.64,9.67
0.210,4.67,-0.51,-8.46,9.67
0.220,5.00,-0.42,-8.28,9.68
0.230,5.34,-0.34,-8.06,9.67
0.241,5.67,-0.25,-7.82,9.66
0.251,5.95,-0.17,-7.58,9.64
0.261,6.25,-0.09,-7.32,9.62
0.271,6.55,0.01,-7.06,9.63
0.281,6.81,0.07,-6.79,9.62
0.291,7.06,0.16,-6.52,9.61
0.301,7.32,0.24,-6.26,9.63
0.311,7.54,0.32,-5.96,9.62
0.321,7.77,0.40,-5.66,9.62
0.331,7.95,0.48,-5.36,9.60
0.341,8.16,0.54,-5.06,9.62
0.351,8.35,0.62,-4.75,9.63
0.361,8.52,0.69,-4.45,9.64
0.371,8.67,0.78,-4.14,9.64
0.381,8.82,0.84,-3.82,9.64
0.391,8.94,0.91,-3.51,9.65
0.401,9.05,0.99,-3.19,9.65
0.411,9.17,1.05,-2.88,9.67
0.421,9.26,1.11,-2.55,9.67
0.431,9.34,1.17,-2.24,9.67
0.441,9.41,1.25,-1.92,9.68
0.451,9.47,1.30,-1.59,9.68
0.461,9.51,1.38,-1.27,9.70
0.471,9.54,1.43,-0.93,9.70
0.481,9.58,1.49,-0.62,9.71
0.491,9.57,1.57,-0.31,9.70
0.501,9.56,1.60,0.03,9.69
0.511,9.54,1.67,0.35,9.69
0.521,9.59,1.05,0.94,9.69
0.531,-61.88,-24.27,-3.64,66.57
0.541,-313.53,-156.18,21.31,350.92
0.551,-136.96,68.02,0.65,152.92
0.561,33.11,4.13,5.47,33.82
0.571,4.74,-8.16,7.82,12.26
0.581,5.86,-2.65,8.00,10.26
0.591,4.64,-4.58,8.77,10.93
0.601,3.00,-4.65,9.09,10.64
0.611,1.56,-5.09,9.23,10.66
0.621,0.10,-5.48,9.13,10.65
0.631,-1.29,-5.84,8.72,10.58
0.641,-2.58,-6.21,8.16,10.58
0.651,-3.72,-6.56,7.37,10.55
0.661,-4.71,-6.88,6.39,10.51
0.671,-5.48,-7.17,5.28,10.45
0.681,-6.06,-7.42,4.06,10.40
0.692,-6.40,-7.61,2.78,10.33
0.701,-6.54,-7.78,1.49,10.27
0.711,-6.41,-7.94,0.17,10.20
0.722,-6.06,-8.03,-1.08,10.12
0.732,-5.48,-8.11,-2.24,10.04
0.742,-4.71,-8.17,-3.30,9.99
0.752,-3.71,-8.20,-4.18,9.93
0.762,-2.58,-8.23,-4.89,9.92
0.772,-1.34,-8.25,-5.42,9.96
0.782,0.02,-8.26,-5.72,10.04
0.792,1.38,-8.28,-5.79,10.20
0.802,2.76,-8.30,-5.63,10.40
0.812,4.08,-8.31,-5.25,10.64
0.822,5.32,-8.34,-4.65,10.93
0.832,6.11,-8.49,-3.87,11.15
0.842,-30.01,-11.88,5.14,32.68
0.852,-132.74,-30.65,23.74,138.28
0.862,-27.38,-20.50,-1.42,34.24
0.872,10.57,-7.91,-4.48,13.94
0.882,1.62,-9.58,-1.62,9.85
0.892,2.70,-10.69,-1.45,11.12
0.902,2.19,-10.61,-1.16,10.90
0.912,1.80,-10.72,-0.91,10.91
0.922,1.40,-10.77,-0.65,10.88
0.932,0.95,-10.83,-0.46,10.88
0.942,0.52,-10.85,-0.27,10.86
0.952,0.08,-10.84,-0.13,10.84
0.962,-0.38,-10.81,-0.00,10.82
0.972,-0.84,-10.76,0.09,10.80
0.982,-1.30,-10.69,0.15,10.77
0.992,-1.76,-10.62,0.15,10.77
1.002,-2.23,-10.50,0.13,10.74
1.012,-2.68,-10.37,0.10,10.71
1.022,-3.13,-10.22,0.00,10.69
1.032,-3.57,-10.05,-0.12,10.66
1.042,-4.00,-9.84,-0.25,10.62
1.052,-4.41,-9.64,-0.43,10.61
1.062,-4.81,-9.40,-0.62,10.57
