time,ax,ay,az,atotal
0.491,6.51,0.69,-6.89,9.50
0.501,6.67,0.75,-6.75,9.52
0.511,6.78,0.82,-6.59,9.49
0.521,6.90,0.89,-6.46,9.49
0.531,7.01,0.94,-6.33,9.49
0.541,7.10,1.03,-6.19,9.47
0.551,7.21,1.09,-6.03,9.46
0.561,7.30,1.16,-5.89,9.45
0.571,7.39,1.22,-5.73,9.43
0.581,-18.51,-4.56,6.41,20.12
0.593,-245.12,-44.38,119.07,276.10
0.601,40.01,13.83,188.14,192.85
0.611,82.80,6.61,59.20,102.00
0.621,-10.88,-1.05,-24.19,26.54
0.631,8.60,1.53,-4.09,9.64
0.641,6.96,1.68,-5.46,9.01
0.651,7.72,2.17,-3.77,8.86
0.661,8.22,2.57,-2.14,8.87
0.671,8.39,2.91,-0.56,8.89
0.681,8.35,3.23,1.01,9.01
0.691,8.08,3.49,2.54,9.16
0.701,7.54,3.67,3.98,9.28
0.712,6.81,3.83,5.24,9.41
0.722,5.89,3.94,6.37,9.52
0.732,4.78,4.00,7.29,9.59
0.742,3.56,4.00,7.95,9.58
0.752,2.24,3.95,8.36,9.51
0.762,0.85,3.88,8.48,9.37
0.772,-0.53,3.76,8.33,9.15
0.782,-1.83,3.58,7.86,8.83
0.792,-3.05,3.36,7.12,8.44
0.802,-4.12,3.08,6.12,8.00
0.812,-5.05,2.78,4.92,7.58
0.822,-5.76,2.43,3.56,7.20
0.832,-6.23,2.02,2.11,6.88
0.842,-6.47,1.57,0.58,6.68
0.853,-6.46,1.06,-0.95,6.62
0.862,-6.24,0.54,-2.47,6.73
0.872,-5.82,-0.03,-3.89,7.00
0.882,-5.16,-0.62,-5.22,7.37
0.892,-4.32,-1.23,-6.40,7.82
0.902,-3.33,-1.87,-7.42,8.34
0.912,-2.19,-2.51,-8.23,8.87
0.922,-0.98,-3.12,-8.83,9.41
0.932,0.33,-3.73,-9.23,9.96
0.942,1.64,-4.33,-9.38,10.46
0.952,2.98,-4.90,-9.29,10.91
0.962,4.26,-5.42,-8.99,11.33
0.972,5.44,-5.88,-8.48,11.66
0.982,0.36,-7.74,-4.42,8.92
0.992,-85.26,-44.58,64.59,115.88
1.002,-100.28,-35.22,4.46,106.38
1.012,0.22,16.34,-24.03,29.06
1.022,20.54,5.34,11.66,24.22
1.032,14.63,0.14,13.21,19.71
1.042,-5.64,-10.72,-8.67,14.90
1.052,-2.13,-7.07,-4.81,8.81
1.062,0.76,-5.35,-1.69,5.66
1.072,1.38,-3.59,-1.36,4.08
1.082,-0.43,-2.23,-3.97,4.57
1.092,-2.05,-1.26,-6.12,6.58
1.102,-1.92,-0.39,-6.68,6.96
1.112,-0.42,0.40,-5.72,5.75
1.122,2.79,1.18,-3.27,4.45
1.132,5.02,1.28,-0.25,5.19
1.142,6.36,1.24,0.86,6.54
1.152,6.38,1.35,-0.36,6.53
1.162,7.16,1.06,0.51,7.25
1.172,13.79,-2.14,11.59,18.15
1.182,16.93,-5.36,13.43,22.26
1.193,7.10,-2.57,-4.25,8.67
1.202,4.04,-0.24,-8.87,9.75
1.213,4.56,-0.88,-8.51,9.70
1.222,4.64,-1.49,-8.59,9.88
1.233,4.81,-2.08,-8.53,10.01
1.243,4.31,-2.97,-5.06,7.28
1.253,1.96,-4.62,3.91,6.36
1.263,1.78,-6.78,0.07,7.01
1.273,3.06,-8.49,-8.36,12.30
1.283,1.66,-5.35,0.90,5.68
1.293,6.30,18.00,40.31,44.60
1.303,6.52,4.12,35.15,35.98
1.313,2.89,-2.37,-6.71,7.68
1.323,3.80,-1.32,-9.86,10.65
1.333,3.27,-0.68,-7.59,8.29
1.343,2.90,0.36,-1.84,3.45
1.353,2.56,1.08,0.53,2.83
1.363,2.79,1.10,-5.01,5.84
1.373,2.77,1.14,-7.96,8.51
1.383,2.29,1.27,-5.77,6.33
1.393,1.64,1.22,-0.87,2.23
1.403,1.23,0.86,1.19,1.91
1.413,1.03,0.30,3.30,3.47
1.423,0.75,0.43,1.22,1.49
1.433,-1.80,6.07,-6.02,8.74
1.443,-2.06,13.70,-0.83,13.88
1.453,2.11,9.91,18.24,20.86
1.463,0.96,5.30,8.73,10.26
1.473,-0.87,1.92,-9.56,9.79
1.483,0.94,-2.40,-6.88,7.35
1.493,2.39,-5.51,-2.57,6.53
1.503,7.11,-6.14,6.42,11.38
1.513,6.41,-8.76,20.41,23.11
1.523,-0.34,-2.37,-4.22,4.86
1.533,2.39,-1.42,-5.74,6.38
1.543,2.04,-1.43,-4.36,5.02
1.553,3.01,-0.85,-0.44,3.15
1.563,2.96,-0.72,1.66,3.47
1.573,2.14,-0.67,4.64,5.15
1.583,1.80,0.06,4.55,4.90
1.593,0.77,1.41,0.95,1.86
1.604,-0.15,-2.20,-5.16,5.61
1.614,1.40,-1.99,-7.56,7.94
1.623,1.79,-0.55,-1.03,2.14
1.634,3.39,1.29,10.01,10.65
1.644,2.19,0.99,8.52,8.85
1.654,0.29,-1.02,-1.04,1.49
1.663,0.50,-1.69,-6.85,7.08
1.674,1.58,-1.13,-6.74,7.02
1.683,0.82,-0.06,-1.79,1.97
1.694,0.46,1.68,5.42,5.69
1.704,1.47,-0.12,5.51,5.71
1.714,2.04,-1.22,-0.51,2.44
1.724,1.79,-0.12,-2.01,2.70
1.734,0.99,-0.29,0.94,1.40
1.744,0.32,-0.53,1.99,2.08
1.754,1.03,-0.29,-1.96,2.23
1.764,1.40,-0.24,-2.57,2.93
1.774,1.03,-0.44,1.26,1.69
1.784,1.02,-0.58,3.04,3.26
1.794,1.34,-0.43,0.20,1.42
1.804,1.27,-0.41,-1.22,1.81
1.814,0.87,-0.37,0.35,1.00
1.824,0.77,-0.42,0.66,1.10
1.834,1.08,-0.33,-0.71,1.33
1.844,1.14,-0.40,-0.14,1.21
1.854,0.98,-0.45,1.33,1.71
1.864,1.02,-0.44,0.65,1.29
1.874,1.05,-0.34,-0.58,1.24
1.884,0.90,-0.37,-0.16,0.98
1.894,0.87,-0.38,0.41,1.03
1.904,0.99,-0.37,0.12,1.06
1.914,1.03,-0.38,0.16,1.11
1.924,0.92,-0.40,0.54,1.14
1.934,0.88,-0.39,0.22,0.98
1.944,0.91,-0.33,-0.26,1.00
1.954,0.87,-0.36,0.05,0.94
1.964,0.87,-0.37,0.39,1.02
1.974,0.90,-0.38,0.23,1.00
1.984,0.90,-0.36,0.13,0.98
1.994,0.83,-0.36,0.21,0.93
2.004,0.79,-0.35,0.04,0.87
2.014,0.82,-0.33,-0.01,0.89
2.024,0.76,-0.35,0.23,0.87
2.034,0.72,-0.31,0.30,0.84
2.044,0.69,-0.30,0.09,0.76
2.054,0.62,-0.28,0.02,0.68
2.064,0.54,-0.27,0.11,0.61
2.074,0.54,-0.25,0.07,0.60
2.085,0.55,-0.23,0.08,0.60
2.094,0.50,-0.25,0.20,0.59
2.104,0.46,-0.22,0.10,0.52
2.114,0.44,-0.19,-0.01,0.48
2.124,0.49,-0.20,0.14,0.55
2.135,0.66,-0.29,0.69,1.00
2.145,0.53,-0.25,1.04,1.20
2.155,0.25,-0.28,0.20,0.42
2.165,0.19,-0.09,-1.40,1.42
2.175,0.12,-0.06,-2.07,2.08
2.185,0.13,-0.06,-0.88,0.89
2.195,0.48,-0.27,1.24,1.36
