time,ax,ay,az,atotal
0.000,-0.04,-0.01,-0.34,0.35
0.010,0.10,-0.04,-0.28,0.30
0.020,0.12,-0.07,-0.32,0.35
0.030,0.09,-0.06,-0.38,0.39
0.040,0.05,0.01,-0.36,0.36
0.050,-0.08,0.02,-0.13,0.16
0.060,-0.17,0.02,0.41,0.44
0.070,-0.24,-0.02,0.83,0.87
0.080,-0.19,0.00,0.89,0.91
0.090,0.07,0.20,0.59,0.63
0.100,0.18,0.29,0.14,0.37
0.110,0.07,0.11,-0.35,0.38
0.120,0.22,-0.02,-0.81,0.84
0.130,0.40,-0.06,-1.14,1.21
0.140,0.21,-0.16,-1.31,1.33
0.150,0.09,0.08,-1.46,1.47
0.160,-0.23,0.59,-1.77,1.88
0.171,-0.57,0.67,-2.31,2.48
0.180,-1.47,1.03,-3.35,3.80
0.191,-2.70,1.65,-4.87,5.81
0.200,-1.26,1.16,-7.11,7.31
0.211,1.23,0.48,-9.19,9.28
0.221,1.82,0.28,-9.77,9.94
0.231,1.42,-0.59,-9.72,9.84
0.241,1.19,-1.15,-9.59,9.73
0.250,1.56,-0.93,-9.57,9.74
0.261,1.79,-0.89,-9.52,9.73
0.271,2.05,-0.82,-9.45,9.71
0.281,2.31,-0.76,-9.41,9.71
0.291,2.56,-0.69,-9.32,9.69
0.301,2.80,-0.62,-9.25,9.68
0.311,3.03,-0.54,-9.14,9.64
0.321,3.29,-0.47,-9.07,9.65
0.331,3.52,-0.41,-8.97,9.64
0.341,3.75,-0.34,-8.87,9.63
0.351,3.97,-0.28,-8.76,9.62
0.361,4.20,-0.19,-8.63,9.60
0.371,4.39,-0.13,-8.51,9.58
0.381,4.60,-0.05,-8.38,9.56
0.391,4.81,0.01,-8.26,9.56
0.401,5.02,0.07,-8.13,9.56
0.411,5.19,0.15,-7.99,9.53
0.421,5.38,0.22,-7.88,9.54
0.431,5.57,0.28,-7.74,9.54
0.441,5.75,0.35,-7.61,9.54
0.451,5.92,0.40,-7.45,9.52
0.461,6.07,0.49,-7.32,9.53
0.471,6.25,0.55,-7.18,9.54
0.481,6.38,0.63,-7.02,9.51
