time,ax,ay,az,atotal
0.000,0.16,-0.14,-0.46,0.51
0.010,0.07,0.13,-0.88,0.89
0.020,0.04,0.16,-0.91,0.93
0.030,0.10,0.03,-0.68,0.69
0.040,0.14,-0.09,-0.47,0.50
0.050,0.18,-0.03,-0.47,0.51
0.060,0.14,-0.04,-0.60,0.61
0.070,-0.01,-0.06,-0.70,0.70
0.080,-0.01,-0.04,-0.54,0.54
0.090,0.20,0.08,-0.21,0.30
0.100,0.30,0.17,0.02,0.35
0.110,0.30,0.10,0.03,0.32
0.120,0.13,0.10,-0.31,0.35
0.130,-0.47,0.15,-1.01,1.13
0.140,-1.01,0.12,-1.85,2.11
0.150,-0.87,1.08,-2.88,3.19
0.160,-0.60,2.29,-3.99,4.64
0.170,-1.34,2.97,-5.80,6.65
0.180,-0.29,-0.14,-7.33,7.34
0.190,1.47,-1.10,-6.85,7.09
0.200,1.71,-0.51,-6.04,6.30
0.210,2.06,-1.67,-7.07,7.55
0.220,2.64,-2.86,-8.80,9.62
0.231,3.20,-3.00,-8.79,9.82
0.240,3.75,-2.92,-8.53,9.76
0.251,4.30,-2.90,-8.27,9.76
0.261,4.81,-2.87,-8.00,9.77
0.271,5.29,-2.85,-7.69,9.76
0.281,5.78,-2.80,-7.36,9.77
0.291,6.26,-2.79,-7.00,9.79
0.301,6.65,-2.76,-6.61,9.77
0.311,7.08,-2.74,-6.17,9.78
0.321,7.45,-2.70,-5.75,9.79
0.331,7.79,-2.68,-5.30,9.80
0.341,8.12,-2.66,-4.82,9.81
0.351,8.40,-2.62,-4.34,9.81
0.361,8.64,-2.59,-3.84,9.80
0.371,8.86,-2.56,-3.33,9.80
0.381,9.06,-2.55,-2.81,9.82
0.391,9.22,-2.51,-2.29,9.83
0.401,9.35,-2.48,-1.75,9.83
0.411,9.44,-2.46,-1.20,9.83
0.421,9.53,-2.43,-0.65,9.86
0.431,9.57,-2.41,-0.13,9.87
0.441,9.54,-2.39,0.43,9.84
0.451,9.51,-2.36,0.98,9.84
0.461,9.45,-2.33,1.52,9.85
0.471,9.34,-2.30,2.05,9.84
0.481,9.20,-2.29,2.58,9.82
0.491,9.02,-2.26,3.10,9.80
0.501,8.81,-2.24,3.59,9.77
0.511,8.56,-2.21,4.08,9.73
0.521,8.27,-2.18,4.53,9.68
0.531,7.94,-2.16,4.99,9.63
0.541,7.55,-2.12,5.44,9.54
0.551,7.13,-2.09,5.86,9.46
0.561,6.67,-2.08,6.31,9.42
0.571,6.16,-2.04,6.72,9.34
0.581,5.63,-1.99,7.08,9.26
0.591,5.08,-1.96,7.41,9.19
0.601,4.45,-1.92,7.70,9.09
0.611,3.80,-1.89,7.92,8.98
0.621,3.14,-1.84,8.14,8.92
0.631,2.46,-1.81,8.37,8.91
0.641,1.76,-1.76,8.49,8.85
0.651,1.04,-1.71,8.57,8.80
0.661,0.34,-1.66,8.64,8.80
0.672,-0.39,-1.59,8.56,8.71
0.681,-1.11,-1.53,8.46,8.67
0.692,-1.83,-1.45,8.30,8.63
0.701,-1.76,-0.75,8.03,8.26
0.712,47.30,15.31,-67.09,83.50
0.721,15.90,-61.71,-303.15,309.77
0.732,-42.25,-32.55,-34.30,63.41
0.741,4.50,2.77,30.56,31.02
0.752,-5.48,-7.67,5.31,10.82
0.761,-4.91,-6.83,9.85,12.96
0.772,-5.49,-7.85,7.96,12.46
0.781,-5.98,-8.57,7.06,12.61
0.792,-6.32,-9.21,6.08,12.72
0.802,-6.58,-9.77,5.06,12.82
0.812,-6.76,-10.27,3.94,12.91
0.822,-6.77,-10.66,2.78,12.93
0.832,-6.65,-10.96,1.61,12.92
0.842,-6.40,-11.16,0.41,12.87
0.852,-6.00,-11.27,-0.76,12.79
0.862,-5.42,-11.29,-1.85,12.65
0.872,-4.71,-11.21,-2.90,12.50
0.882,-3.83,-11.06,-3.87,12.33
0.892,-2.79,-10.83,-4.67,12.12
0.902,-1.63,-10.56,-5.34,11.95
0.912,-0.37,-10.24,-5.81,11.78
0.922,0.98,-9.87,-6.08,11.63
0.932,2.38,-9.46,-6.14,11.52
0.942,3.79,-9.04,-6.01,11.50
0.952,5.16,-8.61,-5.67,11.53
0.962,6.46,-8.16,-5.09,11.59
0.972,7.66,-7.72,-4.34,11.71
0.982,8.70,-7.25,-3.49,11.85
0.992,9.58,-6.79,-2.43,12.00
1.002,10.25,-6.31,-1.32,12.11
1.012,10.72,-5.82,-0.20,12.19
1.022,10.98,-5.31,0.96,12.23
1.032,11.03,-4.75,2.05,12.18
1.042,10.92,-4.16,3.06,12.08
1.052,10.60,-3.55,3.99,11.87
